,Unnamed: 0,name,gender,关注,粉丝,time,rating,text,useful,,,,,,,,,
8938,8938,E04****98,male,0,0,43847,width:80%;,园区挺小的，但是还比较精致，关键是门票价格确实很便宜的，下次还来。,有用 （0）,,,,,,,,,
8962,8962,M10****395,male,0,0,43573,width:20%;,5个景点只能参观2个无语，叫我怎么评价,有用 （0）,,,,,,,,,
9012,9012,达戈米斯韩擒虎,male,0,0,42548,width:80%;,"包含五六个不同展览，有室内的。各种蔬菜，花卉和室外的牡丹园，游乐场。比较适合孩子学习。人比较少，也是家庭踏青的不错选择。
园区有个温室内的饭店，餐桌被各种植物环绕，很有特色。没有吃饭，不知道味道和性价比。",有用 （0）,,,,,,,,,
9026,9026,M33****832,male,0,0,42413,width:80%;,携程订票很实惠，假期中走走逛逛，拍拍照很不错，就是馆内有点热，不敢多停留，还有3个馆下次再去看,有用 （0）,,,,,,,,,
9033,9033,300****128,male,0,0,42337,width:80%;,价格略贵，性价比不高。除了月季园还是可以的，其他景点都很一般。要是月季园能单独买票就好了。,有用 （0）,,,,,,,,,
9039,9039,118****215,male,0,0,42286,width:100%;,门票有点贵！菜肴偏咸偏辣，希望增加苏州特色菜。,有用 （0）,,,,,,,,,
9061,9061,133****1988,male,2,1,42162,width:80%;,长知识，套票性价比高，适合自驾游和家庭出游！歺厅价格和上海差不多，应该有点贵了！,有用 （0）,,,,,,,,,
9073,9073,不再见1348,male,0,0,42118,width:100%;,由于在孕期，老公不允许走太远，就只能在太仓范围内玩玩。4.15天气不错，阳光明媚，现代农业园和花卉园倒是对农作物和花卉有了一定的了解，但恩钿月季园由于还没有到开月季的时候，所以里面光秃秃的，就是这个不值那个价。湿地里面的那个荷花还没开，少了点意境，感觉还是等开了荷花和月季花的时候去比较值得,有用 （0）,,,,,,,,,
9082,9082,_cs33****3071,male,0,0,41965,width:80%;,亲子园里小动物小朋友挺喜欢，湿地馆也不错。有热带植物园，有蔬菜瓜果，但是感觉票价还是偏贵了点,有用 （0）,,,,,,,,,
9095,9095,230****787,male,0,0,43016,width:100%;,非常好玩，联票可以玩一整天，就是海龟的池子该好好清洗了,有用 （0）,,,,,,,,,
9096,9096,230****787,male,0,0,43016,width:100%;,非常好玩，联票可以玩一整天，就是海龟的池子该好好清洗了,有用 （0）,,,,,,,,,
9097,9097,230****787,male,0,0,43016,width:100%;,非常好玩，联票可以玩一整天，就是海龟的池子该好好清洗了,有用 （0）,,,,,,,,,
9138,9138,210****092,male,0,1,42884,width:80%;,区域很大，性价比很高，所有的景点看完最起码要一整天。每个景点相距500米左右。,有用 （0）,,,,,,,,,
9139,9139,火星07,male,0,0,42882,width:100%;,共有六个场馆，带着家人在里面可玩一天，就是门票有点小贵。,有用 （0）,,,,,,,,,
9147,9147,133****7622,male,0,0,42859,width:100%;,真不错的地方，6馆套票合算！吧！,有用 （0）,,,,,,,,,
9148,9148,133****7622,male,0,0,42859,width:100%;,6个馆，套票价廉物美！好好玩一天玩不下来！,有用 （0）,,,,,,,,,
9152,9152,M60****038,male,0,0,42857,width:80%;,"最大的特点是联票万一来不及玩,可以下次再玩,这很人性化.",有用 （0）,,,,,,,,,
9191,9191,M47****608,male,0,0,2016/10/24,width:100%;,这里值得去，菊花品种很多，形态各异，很漂亮！2016年10月29日至11月27日，举行菊花大赏，门票35！昨天以为免费的带着娃去，结果没开园……2014年去是免费，很漂亮,有用 （16）,,,,,,,,,
9192,9192,大写人,male,0,0,2015/6/28,width:80%;,可能菊花展近期火爆，来往车辆很多，临近目的地就会堵，菊花种类很多，不要门票。周末和家人一起欣赏菊花也是挺不错的选择。,有用 （15）,,,,,,,,,
9202,9202,M28****345,male,0,0,2017/11/4,width:100%;,性价比很高，菊花种类多，展厅内部的设计业很有情调，周边业有其他可以逛的地方，很美，旁边有个集市，都是卖自家种的蔬菜啥的，很有感觉,有用 （3）,,,,,,,,,
9224,9224,么么小然,male,1,0,2020/5/26,width:100%;,放眼望去都是花，分了好几个棚子。老年人居多，像是来逛庙会的。也有小吃，逛累了可以直接坐在里面买了坐下开吃。门票不贵，门口还有票贩子，票价比现场购买便宜一点点。,有用 （0）,,,,,,,,,
9227,9227,M55****221,male,7,2,2020/1/16,width:40%;,"美丽乡村，值得一游。下次再看看。能不能
【趣味】多一点点
【趣味】再增加些好玩的开心就好，
【性价比】相比较还是可以的哦⊙?⊙！。",有用 （0）,,,,,,,,,
9235,9235,老猴家宝,male,0,0,2019/11/19,width:100%;,不要门票，里面环境好，吃饭还行,有用 （0）,,,,,,,,,
9240,9240,wbclawyer,male,40,470,2019/11/5,width:80%;,这里的菊花品种比较多，五颜六色，色彩缤纷，有着不同的花型，空气中弥漫着阵阵菊花的清香，携程网上购票，省钱，入园方便，周边的菊展值得一看。,有用 （0）,,,,,,,,,
9258,9258,138****7999,male,9,0,2019/2/2,width:100%;,服务中心站台式样板机票价格多少呀，,有用 （0）,,,,,,,,,
9268,9268,e45****61,male,0,0,2018/9/30,width:100%;,菊花品种丰富，有一些菊花还是很少见的，规模比较大，性价比高！家人休闲的好去处，已去过两次了。,有用 （0）,,,,,,,,,
9269,9269,e45****61,male,0,0,2018/9/4,width:80%;,景色优美，服务一般，总体感觉良好，性价比较高，值得去一趟。,有用 （0）,,,,,,,,,
9298,9298,M57****038,male,0,0,2017/11/26,width:100%;,菊花的品种很多，很好看，展示厅里的小房子，脸谱，风车等等都很有特色！携程上的票价很便宜很方便！星期天最后一天了，人超级多！,有用 （0）,,,,,,,,,
9302,9302,舞月轩炫舞,male,0,0,2017/11/26,width:80%;,总体来说还不错、只买菊花展门票即可、就是路程有点远啊,有用 （0）,,,,,,,,,
9333,9333,M51****428,male,0,0,2017/11/17,width:80%;,购票使用方便，便宜，菊花很漂亮,有用 （0）,,,,,,,,,
9352,9352,自由自在cwg,male,0,0,2017/11/13,width:100%;,非常好!今天比周末时人少多了挺大的门票值了，看看花心情好很多，确实不错的地方,有用 （0）,,,,,,,,,
9368,9368,周小军,male,0,0,2017/11/12,width:100%;,很多的花，门票也不贵，适合周末带小孩去看。园区里面小超市卖的东西比较平价，都不需要从外面超市买吃的带进去。,有用 （0）,,,,,,,,,
9378,9378,eric_sx,male,0,0,2017/11/11,width:80%;,花的品种很多 不过小部分点凋谢的意思 好几个大鹏没开放 总的来说值得一去  门票不贵 ,有用 （0）,,,,,,,,,
9430,9430,南瓜的爸爸,male,0,0,2017/11/5,width:100%;,和家人一起驾车过去，秋高气爽，菊花展的各种菊花争奇斗艳，别具特色，值得游玩，携程购票很方便，门口有网络兑票窗口，不错的体验,有用 （0）,,,,,,,,,
9434,9434,M48****796,male,0,0,2017/11/5,width:80%;,门票网上购买很方便，景区有专门得网络购票兑换区。景区很大，菊花品种繁多，值得一玩！,有用 （0）,,,,,,,,,
9455,9455,我思我不在,male,12,0,2018/3/12,width:100%;,3月份正是郁金香盛开的日子，园内五颜六色的郁金香一大片一大片的非常的美。绝对是带女朋友拍照的好地方。当天天气也非常好，55元的门票里包含了动物博物馆，蜡像馆和4D电影。蜡像馆不看牌子都猜不出这人是谁，特逗。其他像滑草的游乐要另外买票。,有用 （8）,,,,,,,,,
9459,9459,205****733,male,0,0,2016/9/21,width:20%;,"不怎么样，价格还贵。所有的花都是一种。
",有用 （6）,,,,,,,,,
9460,9460,_WeCh****32159,male,0,0,2016/6/23,width:100%;,里面的风景都很不错、饭菜也很合口价格合理、,有用 （6）,,,,,,,,,
9462,9462,_WeCh****10825,male,0,0,2018/3/3,width:60%;,郁金花花海挺美的，就是里面玩的几个项目都要另外收费，不包含在门票内，要是设定包含在内就好了。别的没有其他特别好玩的地方了。,有用 （5）,,,,,,,,,
9469,9469,jane****m88,male,0,0,2016/1/10,width:20%;,因为去的时间不对，工作人员尽然无提醒还是让我们买票，结果里面连一些基本花草都没有,有用 （4）,,,,,,,,,
9470,9470,Panli,male,9,0,2015/6/20,width:40%;,人工种点花，一般大点的公园都能找到其中感觉，买这么贵门票去看一点不值。建议去马鞍池公园免费的。,有用 （4）,,,,,,,,,
9485,9485,冷子汐,male,0,0,2018/5/26,width:20%;,不值得，不好玩，票价太贵了，不值这个价钱,有用 （2）,,,,,,,,,
9489,9489,M44****364,male,0,0,2018/2/27,width:100%;,挺好的，孩子喜欢滑草，但要另买票，可惜里面的游乐设施还沒弄好，有点遗憾?,有用 （2）,,,,,,,,,
9529,9529,_WeCh****64996,male,0,0,2019/8/2,width:40%;,没啥玩的，和上传的视频差太远了，只有一小片地方和进来处吸引人，而且售票处服务也不好,有用 （0）,,,,,,,,,
9535,9535,沉默无语88,male,0,0,2018/10/9,width:80%;,这个景点不错的。郁金香展览好看，特别携程的春节特价票给力了。小孩玩的很开心。以后继续关注携程的优惠,有用 （0）,,,,,,,,,
9541,9541,M17****118,male,0,0,2018/4/8,width:60%;,不怎么样，里面都还没弄好。门票太贵,有用 （0）,,,,,,,,,
9544,9544,Robert579,male,0,0,2018/3/11,width:80%;,总体还行，里面还有很多项目要额外收费，感觉门票价格偏高。,有用 （0）,,,,,,,,,
9549,9549,M15****105,male,0,0,2018/3/3,width:100%;,周末出游好地方，携程购票很方便,有用 （0）,,,,,,,,,
9553,9553,M35****372,male,0,0,2018/2/26,width:100%;,感觉还可以，如果小朋友想要玩更多的游乐设施，感觉套票比较划算。今天过去还是玩的很开心的！,有用 （0）,,,,,,,,,
9564,9564,137****6380,male,0,0,2018/2/18,width:80%;,去年来的时候，记得买了门票里面的游乐项目都是免费的，今年进去 发现全部收费了啊，不过还确实新建了很多新的游乐设施 性价比还是挺高的 可以的,有用 （0）,,,,,,,,,
9586,9586,阿福哥,male,0,1,2016/10/4,width:100%;,值得回首，环境清净，待客待朋友非常合适，首选，价格公道，服务周道。,有用 （0）,,,,,,,,,
9587,9587,_CFT01****2412900,male,0,0,2016/10/2,width:100%;,晚上去更好，夜景真的非常美，门票50元。,有用 （0）,,,,,,,,,
9603,9603,_WB1****803,male,0,0,2015/3/24,width:100%;,还行，不错的，价格便宜。，…………………………………………………………………。…。。,有用 （0）,,,,,,,,,
9610,9610,浪里个浪狼,male,29,28,2015/1/30,width:100%;,大棚里的东西不多 ，可看性不强，摘桔子很有趣，价格又便宜。小朋友玩得很开心，孩子玩的游戏比较好，还摘了橘子，不错，小朋友很喜欢。,有用 （4）,,,,,,,,,
9617,9617,华夏阳光,male,0,0,2015/9/23,width:60%;,一般吧，感觉还没有完全建好。门票价格不贵的。。。。。。。。,有用 （2）,,,,,,,,,
9632,9632,_WeCh****52662,male,0,0,2018/10/2,width:20%;,什么都没有，还好意思收30元门票，据说在装修,有用 （0）,,,,,,,,,
9633,9633,_WeCh****52662,male,0,0,2018/10/2,width:20%;,十一带小朋友去，景区说在装修，我们说既然你在装修就不要开门了，还要收30元门票，里面什么东西也没有，真是太差了，大家千万不要再上当了,有用 （0）,,,,,,,,,
9705,9705,诚恒静,male,0,0,2019/5/28,width:60%;,整体感觉真一般，里面其实真没什么东西看，门票真不便宜，自行车租赁更贵40-60元，没有下次的景点了。,有用 （0）,,,,,,,,,
9722,9722,M37****303,male,0,0,2018/9/25,width:100%;,很好，适合带小孩去玩，价格很实惠。,有用 （0）,,,,,,,,,
9724,9724,_CFT01****8452475,male,0,0,2019/6/5,width:20%;,其实一颗星都不想给 非周末去的景区里面连个工作人员都没有 商铺餐饮店全关门 还说里面的商铺不归他们管 滑草那里也没人 采摘都没熟不能摘 玩着一点意思都没有 十分钟出来了 发现网上竟然有一个人只要20的团购门票 我们几个人都是原价60买的 坑的要死  谁去坑谁 这么差的地方携程赶紧下架吧还是 已经不能称为景点了,有用 （10）,,,,,,,,,
9733,9733,M40****014,male,9,0,2019/4/21,width:20%;,网上看没有说要门票来了说要买票小孩子也要60,有用 （3）,,,,,,,,,
9769,9769,M41****839,male,25,1,2017/11/29,width:100%;,景色优美趣味横生性价比超高的人气旺盛。,有用 （3）,,,,,,,,,
9770,9770,139****7321,male,1,136,2018/5/29,width:80%;,莘县中原现代农业嘉年华，门票50.免费停车场。里面挺大，景色宜人 趣味横生 值得一游。,有用 （2）,,,,,,,,,
9780,9780,爱木古得,male,0,0,2018/5/5,width:80%;,感觉不错，就是门票贵了。里面总体不错的。如果能提供电动车从最里面将客人载出就好了。里面也没吃饭的地方。,有用 （1）,,,,,,,,,
9819,9819,M30****6675,male,0,0,2019/5/1,width:20%;,空荡荡的都没人，水果也就剩下木瓜和火龙果了，特无聊还要门票不知道哪来的勇气,有用 （0）,,,,,,,,,
2,2,M25****5767,female,2,1,2018/3/12,width:100%;,去西江千户苗寨必定要去看看这个博物馆，位于寨子中心区，无需门票。馆内珍藏有1220余件苗族文物和350余张有代表性的图片、画像、书籍，从苗族历史、生产、生活、节日、音乐、歌舞、服饰、银饰、苗族医药、建筑、巫文化宗教信仰等各个方面展示出苗族文化的独特性和多元性。参观后增强了对苗族文化的了解，有时间值得一看！,有用 （6）,,,,,,,,,
3,3,马特莱杜预,female,5,12,2016/9/15,width:80%;,含在西江苗寨的门票里向游客展示了苗族的主要生活形态祭祀节日苗寨的建筑风格苗药的各种药材苗族的服饰等等对于了解少数民族的文化和风俗还是挺有帮助的,有用 （6）,,,,,,,,,
7,7,q5****wq0,female,5,15,2017/6/30,width:80%;,是大门票里包括的，拿身份证或者门票进入，是个典型的苗寨宅子，里面有宗教丧葬农耕历史等等主题的展厅，应该请讲解，不然单看简短的展品介绍看不出什么鸟来,有用 （4）,,,,,,,,,
12,12,gz当地向导伊妹儿,female,206,1643,2016/10/12,width:80%;,西江千户苗寨博物馆非常不错，了解了很多知识，也长见识了，认识很多苗寨的有关知识，趣味性非常强，有吸引力，性价比超高的，值得一看。,有用 （4）,,,,,,,,,
15,15,136****7825,female,0,0,2014/8/11,width:20%;,商业化太浓，遭遇无良商家，西江阿仰银楼客栈，为了赚高价不惜临时毁约，损害游客利益。,有用 （4）,,,,,,,,,
42,42,W尛姐,female,1,29,2015/12/23,width:60%;,这个西江苗族博物馆就在西江千户苗寨景区内，进去里面参观是要门票的，凭门票一人只能进去一次，人多的话检票的时候要排一下对，不过很快就可以进去了，虽然叫做博物馆，不过里面也不算大，就跟其他旅游景区的民俗文化展示厅一样，里面有两层楼，每层楼都有几个房间，每个房间都有对苗族的服饰、建筑、文化、草药、生活习俗等进行相应的介绍，内容也挺详细的，有实物展示也有一些模型供人参观，也算是个小型博物馆吧，进去逛一圈很快就出来了，里面人也比较挤，进去一次也不会想再进多一次了。,有用 （2）,,,,,,,,,
49,49,we****xu,female,7,145,2014/7/29,width:80%;,包括在门票里面，地方不大，展览了苗寨的人文风情。,有用 （2）,,,,,,,,,
62,62,pingping321,female,10,74,2020/4/13,width:80%;,"苗寨内的民族特色博物馆。在苗寨的中心地带，不需要额外购买门票，建议去看一看。
博物馆有点狭窄，分了几个小厅。主要展示是苗族的特色文化，服饰、民俗、建筑、食物等等都有。
长知识了，在苗寨玩的时候能更好地理解吧，玩的明明白白的。",有用 （0）,,,,,,,,,
68,68,152****1555,female,1,2,2019/9/13,width:100%;,千户苗寨的必去博物馆 了解苗寨文化 太美 在表演场对面 很好找的 免门票 厕所有。推荐一下 去了两次设计也好的  哈哈哈哈,有用 （0）,,,,,,,,,
70,70,哆啦yoyo,female,2,15,2019/8/31,width:80%;,"还是挺值得去的，
【景色】可以了解到苗族苗寨宝贵的文化遗产，了解当地人民的风土人情，饮食习惯和食物特色
【趣味】
【性价比】",有用 （0）,,,,,,,,,
73,73,周游世界I,female,9,106,2019/8/24,width:100%;,西江苗族博物馆位于西江千户苗寨景区内，门票也已经包含在大景区门票里面，里面由具有典型苗族建筑风格的单体两楼建筑群组合而成，一楼为砖混结构，二楼为木质结构，外观为苗族独特的吊脚楼。,有用 （0）,,,,,,,,,
80,80,黑珍珠霏儿,female,5,757,2018/12/28,width:0%;,"民俗博物馆，位于千户苗寨的半山腰，附近还有农民画展览， 博物馆不收门票，也没有讲解员。

大概有三四间屋子的大小，主要展出的是刺绣品，以鞋子，服饰，布片为主，旁边配有文字讲解。

看到小脚的绣花鞋，也是十分惊叹，第一次见这么小的鞋子，三寸金莲，竟是这样的，觉得之前的女人真的不容易。",有用 （0）,,,,,,,,,
85,85,GOODTIME2016,female,2,17,2018/10/15,width:80%;,博物馆不大，不用再单独购票了，外观是一座苗族吊脚楼。里面介绍了苗族人的起居生活习惯及现在的概况，对了解苗寨生活还是很有帮助的。,有用 （0）,,,,,,,,,
101,101,快乐是永远,female,13,36,2018/4/14,width:100%;,千户苗寨的博物馆里有介绍苗寨的习俗，讲究和生活习惯，不用加门票，你进苗寨的票里都包含了。,有用 （0）,,,,,,,,,
103,103,快乐是永远,female,13,36,2018/3/26,width:100%;,西江苗寨博物馆不用单独购票，苗寨的门票里包含博物馆的票。苗寨博物银饰品精巧。,有用 （0）,,,,,,,,,
122,122,186****3137,female,0,0,2017/8/28,width:100%;,不用买门票，蛮有趣的，了解苗族文化和历史，风俗。,有用 （0）,,,,,,,,,
133,133,自由的风,female,11,26,2017/8/2,width:60%;,不用门票，人很多，屋子小，天气热，气味难闻，没有心事看。,有用 （0）,,,,,,,,,
154,154,自由自在的猪1971,female,3,44,2016/10/6,width:80%;,详细介绍了苗寨的历史和风俗，特别喜欢服饰部分，用时约40分钟，参观时记到带门票啊。,有用 （0）,,,,,,,,,
168,168,Q畅927,female,0,0,2016/2/13,width:80%;,拿着景区门票进这里是免费的 没什么太大的意思 进去了解下文化而已,有用 （0）,,,,,,,,,
169,169,110****295,female,0,0,2016/2/11,width:60%;,不用额外收费，包含在门票里面。,有用 （0）,,,,,,,,,
179,179,zhen****109,female,20,163,2015/8/27,width:80%;,门票一起的，不用再购票了。博物馆很小，不过，当地苗族的习俗都有场景，基本都能体现。还不错。,有用 （0）,,,,,,,,,
184,184,my00,female,0,3,2015/4/16,width:100%;,西江千户苗寨景区内的博物馆，馆体本身就是非常富有民族特色的吊角楼~需要凭景区门票进入，只有白天开门。要想了解苗寨的前世今生，风土人情，这里是最好的场所~,有用 （0）,,,,,,,,,
186,186,amy旅者在路上,female,15,1425,2015/3/20,width:100%;,整个苗族博物馆是收票的，不过票价比较实惠，我们是等到刚开门的时候去的，里面成列了好几件很大气的苗族的服装。,有用 （0）,,,,,,,,,
195,195,hl****ol,female,0,9,2014/10/10,width:60%;,就是讲点苗家的习俗之类的，里面都是文字没啥实物的东西，含在门票里面的需要出示门票才能进去,有用 （0）,,,,,,,,,
196,196,131****9393,female,0,0,2014/10/6,width:100%;,没什么好说，商业气氛很浓。东西太贵，肯爹的门票120一人,有用 （0）,,,,,,,,,
201,201,Qiunong-82,female,0,0,2016/10/17,width:100%;,古城博物馆是凤凰九景之一，门票含在联票中，不能单独售票。该博物馆为私人建立，许多民间搜寻的苗族家具和物品都有展览，馆长雷雨喜爱书画，擅长荷花，馆内有多幅作品。,有用 （8）,,,,,,,,,
207,207,hl****ol,female,0,9,2014/10/10,width:80%;,算是凤凰必来的景点，含在了门票之内，博物馆本身的建筑就很有特色，推荐来看看,有用 （3）,,,,,,,,,
217,217,notice,female,3,131,2017/5/15,width:60%;,含在套票里，每天有表演但是很短，就是为了宣传边城演出的。每半小时有一场表演。里面展出了当地的物件，不大浏览二十分钟足矣。以前是龙云飞的家。,有用 （2）,,,,,,,,,
221,221,眯眯眼J,female,2,43,2015/4/21,width:80%;,博物馆也是包含在凤凰景区门票里的一个景点，在这里可以更好的了解凤凰的一些历史，而且建筑也挺不错的，都值得一拍，比较建议白天去。,有用 （2）,,,,,,,,,
236,236,哈哈哈哈哈88888,female,12,50,2014/5/10,width:80%;,"联票中的景点. 已包含在148中,   顺便去看看, 整体建筑还不错.  在古城内,走过去产也很方便  满大的. 拍拍照,,",有用 （1）,,,,,,,,,
256,256,爱好和平,female,16,73,2019/7/30,width:100%;,凤凰古城博物馆指的是私立凤凰古城博物馆，是书画家、研究员雷雨田先生出资建成的，包含三部分：私立古城博物馆，雷雨田艺术馆和陈宝箴世家。这是凤凰古城收费景点之一，也是最值得收费的一个景点，也是最成熟规范的一个景点。一般都是买套票，凤凰古城所有收费景点套票128元。私立古城博物馆收藏了许多雷雨田先生收藏的民间搜集到的凤凰精品，有石牌，陶瓷，苗族的滴水床，其中有4层滴水床一张，三层滴水床一张，层数越高表示床主人越金贵，最高的层数达九层，那些都在文革期间被毁了。雷雨田艺术馆展览雷雨田先生的很多杰作，其中的一幅字是一个“鹤”字，整个字写得象个鹤，并且这个字里还包含一句成语。我游的当天雷雨田先生在艺术馆里，客人可以买字画，可以在雷雨田先生的同意下折价。陈宝箴世家介绍陈家的一些人物，陈宝箴家出了很多名人，应该说是凤凰第一家族了。整个博物馆参观时会有专门的讲解员，带你按顺序参观。他们的讲解简单明了，有时就一句话。他们的讲解内容都是背熟了的，每个讲解员讲的几乎完全一样，我听了一男一女两个讲解员讲解。如果你问问题，他们几乎不回答，而问问题的人也是凤毛麟角，我问了一个问题：整个博物馆花了多少经费，问了几次，都不回答。其实如果说：不大清楚或不公开等也是答案，但讲解员就是不回答。在我看来，整个凤凰人文景观的最精华部分就是凤凰古城博物馆了。雷雨田先生对凤凰古城的贡献是巨大的，无法用金钱来衡量的。,有用 （0）,,,,,,,,,
278,278,M24****0948,female,2,0,2017/11/15,width:80%;,里面的木质结构房子有文物保存价值,有用 （0）,,,,,,,,,
282,282,M23****5583,female,2,0,2017/10/24,width:80%;,需要买门票，一不小心从后门混进去了,有用 （0）,,,,,,,,,
320,320,E18****097,female,0,0,2015/6/2,width:80%;,含在了门票之内，博物馆本身的建筑就很有特色，原为陈宝箴世家的百年老宅，坐落在凤凰古城道门口，,有用 （0）,,,,,,,,,
323,323,小凉同学,female,0,0,2015/3/24,width:80%;,博物馆也是包含在景区门票里的一个景点，在这里可以更好的了解凤凰的一些历史。,有用 （0）,,,,,,,,,
337,337,鱼儿小D,female,0,10,2014/2/19,width:80%;,博物馆里没什么看的，但建筑还是很有特色的，反正都是包含在票价内的，就进去晃了晃,有用 （0）,,,,,,,,,
339,339,_喜裾_,female,4,1018,2013/12/21,width:60%;,包含在门票里面，东西收藏得还是挺多的，而且基本上都是苗族特色，蛮新鲜的,有用 （0）,,,,,,,,,
343,343,薛页,female,0,4,2016/3/18,width:100%;,2016年春节去了平遥古城，平时演出只有下午2点和晚上7点，共2场。春节期间又加演2场。但是演出票还是非常抢手，门口售票处根本买不到当天的票，从黄牛手中买的，晚上7点场要加价280元，晚上9点场加价260元。哎，来一次不易，所以加价看的。演出很震撼，很喜欢。不虚此行。观众不用坐在观众席中，而是与每一个演员一起在表演，我们也是演出的一部分，不知道什么时候，自己身边就会出现真的演员~演员们的表演，很投入，富有感染力。还记得最后一个场景，在我身边表演的小伙子，演绎山西对面食的向往时，表情丰富，全情投入，真的很佩服他们的敬业精神。又见平遥，真的值得一看。,有用 （20）,,,,,,,,,
345,345,M53****064,female,0,0,2017/8/3,width:40%;,因为在西安看了长恨歌，给出极度震撼的感受，所以到了平遥，自然要看看又见平遥的演出。结果真的非常失望，现在处于旅游旺季，所以观众也比较多。尽管大部分时间，观众是作为路人甲路人乙，没有座位，但是票务方应该控制一下入场人数。非常可惜票务方因为一点眼前的蝇头小利，完全不考虑情景剧的实际演出效果，过量卖了太多太多的票，很多很多路人甲路人乙完全挤不到跟前，听不清演员的台词。到最后一个章节，最后居然有两百以上的观众没有座位。看完整个演出，我本人完全没有被带人情境。此外，演职人员使用面粉作为道具来抛洒，虽然意图是好的场景，但编剧和导演难道完全不管演员的健康吗?下来的小伙子们都在咳嗽，非常担心他们得尘肺，总之差评差评！,有用 （11）,,,,,,,,,
346,346,lot****22,female,9,0,2018/3/2,width:60%;,"1 变幻场景虽然有新意并且让观众融入其中，但并没有突出的审美欣赏价值
2 故事稍微牵强，极力要去推销某些信念给观众，而不是一种自然而然的了解。
3 涉及宣传太多封建残余的对女性的歧视和男权观念，直接宣传女性是传宗接代的工具，什么臀大才好生养，产子才能传血脉。
4 最后一点也是我最不满意的：主办方办这么大型的演出，竟然没有任何提醒给孕妇和不能久站者！这个场景特殊，你只能往前走，成千上百人推搡，要站和走1个小时，最后半小时才能坐下。丝毫不夸张的说，孕晚期的孕妇如果去看危险系数非常大。场内秩序太乱了，主办方没有提示，也没有提前告知观众需有秩序观看。",有用 （10）,,,,,,,,,
348,348,E29****21,female,0,0,2016/10/8,width:20%;,"我们提前在携程上付款订好的，到剧场门口之后给携程打电话跟我们说没票了，然后说没办法，携程的那个对接人只能退我们钱，我们拿了钱自己去买票之后，比网上订的便宜20多元钱，携程让我们把多出来的还钱给他！！！我们不给，还骂我们，推我们！！！凭什么！！我们自己花钱买的票，剩的钱凭什么给他，而且我们之前网上订好了，到那没票我们还没找他理论呢。
不过，又见平遥很好看，被携程害惨了！！！各位慎重呀，我平时不写评论的，这次真的是气死了，才上来告诉各位的。",有用 （9）,,,,,,,,,
356,356,crystal,female,0,7,2016/10/20,width:100%;,演出定位为“大型情境体验剧”，所有看过的人无一不推荐，差评率0，所以带着怀疑和好奇，一定要看。跟客栈老板买了门票，170元，票面价格298元，其实也是蛮值的。《又见平遥》有自己单独的剧场，剧场就叫”又见平遥“，造型起伏，很特别。“情境体验剧”是一个全新的剧种，表演方式奇特。用导演王潮歌的话说：“我们很少有机会这样去看一个演出，这更像一个博物馆，或者说，更像一回穿越。我们有时像一个看客，有时又像亲历者。在一个又一个互不关联的场景中，我们捡拾祖先生活的片段：清末的平遥城，镖局、赵家大院、街市、南门广场。从纷繁的碎片中窥视 据欣赏过此剧人们称，情境体验剧“又见平遥”的剧场内部有着繁复和奇特的空间分割，完全不同于传统剧场：没有前厅，没有主入场口，没有观众席，没有传统舞台。观众从不同的门进入剧场，在90分钟的时间里，步行穿过几个不同形态的主题空间。而表演者更深入观众中间，在观剧人群中往来穿梭，甚至与观众对话，让观众有机会成为戏剧的一部分一起互动。人们置身在这样的一个空间里，会产生一种从未体验过的新奇感受。犹如来到数百年前清朝街头，感受清代人们的生活，体验这里的一砖一瓦、一人一物。《又见平遥》讲述了一个关于血脉传承、生生不息的故事。清朝末期，平遥古城票号东家赵易硕抵尽家产，从沙俄保回了分号王掌柜的一条血脉。同兴公镖局232名镖师同去。七年过后，赵东家本人连同232名镖师全部死在途中，而王家血脉得以延续。整个演出通过“选妻”、“镖师洗浴”、“灵魂回家”、“面秀”等等片段，凸显了平遥人的道德传统，及因为这种传统而阐发的悲壮情怀。最感人的情境是镖师出镖之前的洗浴，和镖师们灵魂回归故里。剧情的设计没有正面地表现镖师的死亡，而用城墙上的鬼魂来表现镖师的精神和灵魂，这是很有创见、很有文学品位的构思。我这种感性动物自然看得热泪盈眶，特想嚎嚎大哭。由于是周末的晚上，现场人比较多，但也很有气氛，很多人参与了和演员的互动，煽情部分很多人偷偷在擦眼泪，选妻环节又高调起哄，真是热闹非凡，第一次看这样的演出，我哥说这演出确实出乎他的意料，没想到是这样的。。。总之，值回票价，不虚此行。,有用 （7）,,,,,,,,,
359,359,_WeCh****653608,female,2,0,2018/3/24,width:60%;,节目本身没毛病，恢宏大气，既展现了历史又结合现实，尤其是边走边看的形式很是有趣，但是，不能因为没有座位的限制就无限制售票吧，人都挤成什么样了，把想好好看节目的心情都影响了，希望以后能控制点售票数！,有用 （6）,,,,,,,,,
364,364,Even,female,15,199,2016/8/2,width:100%;,非常喜欢的一场演出，无论从编排，剧情，舞美，灯光，音效，动作等等都数上乘。演员也都很投入，观众完全作为剧中的一个老百姓进行参与。而且在镖师出镖的那场我都快看哭了。太震撼了！绝对值回票价，或者说超出了！,有用 （6）,,,,,,,,,
